barcode,description
8410520032658,58.CHELINO.T2.28UND
8410520032733,33.CHELINO.T6.27UND
8411660170217,DESENGR SYNYTOL 750ML PISTOLA
8700216389976,VAJILLAS FAIRY 370 80ML MAXIPODER
8480012003138,38.LEJIA .PERFUMADA.IFA.2L
8700216323185,VAJ. FAIRY AW 18 11 CAPS TODO EN 1
8480012027943,DETERG. IFA POLVO 600 GR MANO
8411897129910,10.DETER.LUZIL.MARSELLA.24LV
8001090623393,DETERG ARIEL 28 CAC POLVO ORIGIN
8000500390306,NUTELLA  BISCUITS 193GRS
8430017050040,VASO PL CAMPISOL 330 TTE B 25
8414100364108,08.SUNNY.FRUTAS.BOSQUE.330ML
8414100364085,85.SUNNY.FRESA.MORANGO.330ML
9004380079602,CAFE/ I L.MACHIATO
9004380014306,06.ICE.COFFEE.CAPPUCCINO
9004380014405,CAFE ICE LANDESSA 230ML ESPRESSO
8480012029138,TRIANGULO MAIZ  IFA 150GR NACHOS
8430017050873,CUCHILLOS PLAST CAPISOL B/20
8480012041772,72.TENEDOR.MAIZ.IFA.10U
8480012041796,PLATO CAÑA AZU IF 22 B/10
8480012041741,COCHARA MAIZ IFA B/10
8480012041789,PLATO CAÑA AZU IFA 10U
8430893801774,74.VASO.CAMPISOL.1000CC.25U
8430017050439,VASO PLUS CAMPISOL SIDRA 500 25U
8430017050880,CUCHARILLA PLAST  CAMPISOL 24U
8480012019900,CUBO+ESCORIDOR 15L
8445290901088,NESCAFE 3 EN 1 PACK 10X17G
8411741101000,SAL LEDA GRUESA 1K SECA
8480012006047,ARROZ IFA 1 K BASMATI
8410184027878,78.TILDA.AROZ.BASMATI.1K
8480012023518,ARROZ IFA INTEGRAL 1K
8480012006030,30.A.LARGO.VAPORIZADO.1K
8434165471191,BOCADITOS CUETARA 150 LIMON
8480012029169,SALAS IFA GUACAMOLE 300G
8480012029145,SALSA IFA QUESO 300G
8480012029152,SALSA MIXICANA IFA 300G
8410184016520,ARROZ BRILLANTE SABROZ 1K
8412164000215,CALDO CALNORT CARNE 1K
8480012038055,SIROPE CHOCOLATE IFA 295G
8480012031421,CARMELO LIQUIDO IFA 300G
